Instruction,Type,RV32,RV64,EFFEW8,EFFEW16,EFFEW32,EFFEW64,cp_asm_count,cp_vd,cp_fd,cp_vs2,cp_vs1,cp_fs1,cmp_vd_vs2,cmp_vd_vs1,cmp_vs1_vs2,cmp_vd_vs1_vs2,cp_vs2_edges,cp_vs1_edges,cr_vs2_vs1_edges,cp_fs1_edges,cr_vs2_fs1_edges,cp_masking_edges,cr_vl_lmul,cr_vtype_agnostic,cp_vl_0,cp_csr_fflags,cp_csr_frm,std_vec,cp_custom_vfncvt_rup_overflow,cp_custom_FpRecSqrtEst_flag_edges,cp_custom_FpRecipEst_flag_edges,cp_custom_FpRecSqrtEst_edges,cp_custom_FpRecipEst_edges,cp_custom_vfp_NaN_input,cp_custom_vfclass_onehot,cp_custom_vfncvt_rod_overflow,cp_custom_vfredosum_ordered_sum,cp_custom_vfredosum_NAN_vl0,cp_custom_fmv_sf_vd_all_lmul,cp_custom_fmv_fs_vs2_all_lmul,cp_custom_vfp_flags_set,cp_custom_vfp_flags_inactive_not_set,cp_custom_vfp_flags_nv,cp_custom_vfp_flags_nv_nx,cp_custom_vfp_flags_nv_nx_dz,cp_custom_vfp_flags_nv_nx_of,cp_custom_vfp_flags_nv_nx_of_uf,cp_custom_vfp_flags_nx,cp_custom_vfp_flags_nv_dz
vfmerge.vfm,VVFM,x,x,,x,x,x,x,nv0,,nv0,,x,nv0,,,,f,,,v,x,x,x,x,x,,,x,,,,,,x,,,,,,,,,,,,,,,
vfmv.v.f,VF,x,x,,x,x,x,x,x,,,,x,,,,,,,,v,,,x,nomask,x,,,x,,,,,,,,,,,,,,,,,,,,,
vfmv.f.s,FV,x,x,,x,x,x,x,,x,x,,,,,,,f,,,,,,x,nomask,x,,,x,,,,,,x,,,,,,x,,,,,,,,,
vfmv.s.f,VF,x,x,,x,x,x,x,x,,,,x,,,,,,,,v,,,x,nomask,x,,,x,,,,,,,,,,,x,,,,,,,,,,
vfslide1up.vf,VVFM,x,x,,x,x,x,x,x,,x,,x,,,,,f,,,v,x,x,x,x,x,,,x,,,,,,x,,,,,,,,,,,,,,,
vfslide1down.vf,VVFM,x,x,,x,x,x,x,x,,x,,x,x,,,,f,,,v,x,x,x,x,x,,,x,,,,,,x,,,,,,,,,,,,,,,
vfcvt.xu.f.v,VVM,x,x,,x,x,x,x,x,,x,,,x,,,,f,,,,,x,x,x,x,vn,v,x,,,,,,x,,,,,,,x,,,x,,,,,
vfwcvt.xu.f.v,VVM,x,x,,x,x,,x,emul2,,x,,,,,,,f,,,,,x,lmul4max,lmul4max,x,vn,v,x,,,,,,x,,,,,,,x,,,x,,,,,
vfncvt.xu.f.w,VVM,x,x,,x,x,,x,x,,emul2,,,,,,,f_emul2,,,,,x,lmul4max,lmul4max,x,vn,v,x,,,,,,x,,,,,,,x,,,x,,,,,
vfcvt.x.f.v,VVM,x,x,,x,x,x,x,x,,x,,,x,,,,f,,,,,x,x,x,x,vn,v,x,,,,,,x,,,,,,,x,,,x,,,,,
vfwcvt.x.f.v,VVM,x,x,,x,x,,x,emul2,,x,,,,,,,f,,,,,x,lmul4max,lmul4max,x,vn,v,x,,,,,,x,,,,,,,x,,,x,,,,,
vfncvt.x.f.w,VVM,x,x,,x,x,,x,x,,emul2,,,,,,,f_emul2,,,,,x,lmul4max,lmul4max,x,vn,v,x,,,,,,x,,,,,,,x,,,x,,,,,
vfcvt.rtz.xu.f.v,VVM,x,x,,x,x,x,x,x,,x,,,x,,,,f,,,,,x,x,x,x,vn,,x,,,,,,x,,,,,,,x,,,x,,,,,
vfwcvt.rtz.xu.f.v,VVM,x,x,,x,x,,x,emul2,,x,,,,,,,f,,,,,x,lmul4max,lmul4max,x,vn,,x,,,,,,x,,,,,,,x,,,x,,,,,
vfncvt.rtz.xu.f.w,VVM,x,x,,x,x,,x,x,,emul2,,,,,,,f_emul2,,,,,x,lmul4max,lmul4max,x,vn,,x,,,,,,x,,,,,,,x,,,x,,,,,
vfcvt.rtz.x.f.v,VVM,x,x,,x,x,x,x,x,,x,,,x,,,,f,,,,,x,x,x,x,vn,,x,,,,,,x,,,,,,,x,,,x,,,,,
vfwcvt.rtz.x.f.v,VVM,x,x,,x,x,,x,emul2,,x,,,,,,,f,,,,,x,lmul4max,lmul4max,x,vn,,x,,,,,,x,,,,,,,x,,,x,,,,,
vfncvt.rtz.x.f.w,VVM,x,x,,x,x,,x,x,,emul2,,,,,,,f_emul2,,,,,x,lmul4max,lmul4max,x,vn,,x,,,,,,x,,,,,,,x,,,x,,,,,
vfcvt.f.xu.v,VVM,x,x,,x,x,x,x,x,,x,,,x,,,,f,,,,,x,x,x,x,n,v,x,,,,,,x,,,,,,,,,,,,,,x,
vfwcvt.f.xu.v,VVM,x,x,,x,x,,x,emul2,,x,,,,,,,f,,,,,x,lmul4max,lmul4max,x,,,x,,,,,,x,,,,,,,,,,,,,,,
vfncvt.f.xu.w,VVM,x,x,,x,x,,x,x,,emul2,,,,,,,f_emul2,,,,,x,lmul4max,lmul4max,x,n,v,x,,,,,,x,,,,,,,,,,,,,,x,
vfcvt.f.x.v,VVM,x,x,,x,x,x,x,x,,x,,,x,,,,f,,,,,x,x,x,x,n,v,x,,,,,,x,,,,,,,,,,,,,,x,
vfwcvt.f.x.v,VVM,x,x,,x,x,,x,emul2,,x,,,,,,,f,,,,,x,lmul4max,lmul4max,x,,,x,,,,,,x,,,,,,,,,,,,,,,
vfncvt.f.x.w,VVM,x,x,,x,x,,x,x,,emul2,,,,,,,f_emul2,,,,,x,lmul4max,lmul4max,x,n,v,x,,,,,,x,,,,,,,,,,,,,,x,
vfwcvt.f.f.v,VVM,x,x,,x,,,x,emul2,,x,,,,,,,f,,,,,x,lmul4max,lmul4max,x,v,,x,,,,,,x,,,,,,,x,,x,,,,,,
vfncvt.f.f.w,VVM,x,x,,,x,,x,x,,emul2,,,,,,,f_emul2,,,,,x,lmul4max,lmul4max,x,voun,v,x,x,,,,,x,,,,,,,x,,,x,,,,,
vfncvt.rod.f.f.w,VVM,x,x,,x,x,,x,x,,emul2,,,,,,,f_emul2,,,,,x,lmul4max,lmul4max,x,voun,,x,x,,,,,x,,x,,,,,x,,,x,,,,,
vfclass.v,VVM,x,x,,x,x,x,x,x,,x,,,x,,,,f,,,,,x,x,x,x,,,x,,,,,,x,x,,,,,,,,,,,,,,
