rule_name,spec_text,cp_name_1,coverage_desc_1,cp_name_2,coverage_desc_2,cp_name_3,coverage_desc_3,cp_name_4,coverage_desc_4,cp_name_5,coverage_desc_5,cp_name_6,coverage_desc_6,cp_name_7,coverage_desc_7,cp_name_8,coverage_desc_8,cp_name_9,coverage_desc_9,cp_name_10,coverage_desc_10,cp_name_11,coverage_desc_11,cp_name_12,coverage_desc_12,cp_name_13,coverage_desc_13,cp_name_14,coverage_desc_14,cp_name_15,coverage_desc_15,cp_name_16,coverage_desc_16,cp_name_17,coverage_desc_17,cp_name_18,coverage_desc_18,cp_name_19,coverage_desc_19,cp_name_20,coverage_desc_20,cp_name_21,coverage_desc_21,cp_name_22,coverage_desc_22,cp_name_23,coverage_desc_23,coverage_status,explanation,gaps,cp_name_24,coverage_desc_24,cp_name_25,coverage_desc_25,cp_name_26,coverage_desc_26,cp_name_27,coverage_desc_27,cp_name_28,coverage_desc_28,cp_name_29,coverage_desc_29,cp_name_30,coverage_desc_30,cp_name_31,coverage_desc_31,cp_name_32,coverage_desc_32,cp_name_33,coverage_desc_33,cp_name_34,coverage_desc_34,cp_name_35,coverage_desc_35,cp_name_36,coverage_desc_36
vsstatus-vs_acc,"When the hypervisor extension is present, a vector context status field, VS, is added to vsstatus[10:9]. It is defined analogously to the floating-point context status field, FS.",cp_mstatus_vs_off / cp_vsstatus_vs_off,"Coverpoint accesses and sets vsstatus.VS to different values, verifying the field is accessible",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full,"The normative rule states that vsstatus[10:9] contains a VS field defined analogously to FS. The coverpoints cp_mstatus_vs_off/cp_vsstatus_vs_off test accessing and setting vsstatus.VS to different values, which verifies the field exists and is accessible at the specified location. Since the rule only requires the field to be present and defined analogously to FS (i.e., accessible with the same encoding semantics), testing access and value setting fully covers this.",,,,,,,,,,,,,,,,,,,,,,,,,,,
mstatus-vs_op_off,"Attempts to execute any vector instruction, or to access the vector CSRs, raise an illegal-instruction exception when mstatus.VS is set to Off.",cp_mstatus_vs_off / cp_vsstatus_vs_off,Directly tests that vector instructions raise illegal-instruction exception when mstatus.VS is set to Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full,"The normative rule requires that vector instructions and vector CSR accesses raise illegal-instruction exceptions when mstatus.VS is Off. The coverpoints cp_mstatus_vs_off and cp_vsstatus_vs_off directly test this behavior for both mstatus.VS and vsstatus.VS (the virtual supervisor equivalent), covering the complete scope of the rule.",,,,,,,,,,,,,,,,,,,,,,,,,,,
mstatus-vs_op_active,"When V=1 and neither vsstatus.VS nor mstatus.VS is set to Off, executing any instruction that changes vector state, including the vector CSRs, will change both mstatus.VS and vsstatus.VS to Dirty.",cp_mstatus_vs_off / cp_vsstatus_vs_off,"By testing all 16 combinations of mstatus.VS and vsstatus.VS (0-3 each), the non-Off cases implicitly cover the active behavior rule",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,"The coverpoints test all 16 combinations of mstatus.VS and vsstatus.VS initial values, which covers the precondition space (V=1, neither field is Off). However, they only implicitly cover the active behavior. The rule specifically requires verifying that BOTH mstatus.VS AND vsstatus.VS are changed to Dirty after executing a vector-state-changing instruction. The Off-checking coverpoints focus on what happens when VS IS Off, not on verifying the Dirty outcome when VS is not Off.",No explicit check that mstatus.VS transitions to Dirty (value 3) after vector state change when neither field is Off; No explicit check that vsstatus.VS transitions to Dirty (value 3) after vector state change when neither field is Off; No verification that the rule applies to vector CSR changes (not just vector instructions); No coverage of V=1 precondition being active during the test,,,,,,,,,,,,,,,,,,,,,,,,,,
sstatus-vs_op,"A vector context status field, VS, is added to mstatus[10:9] and shadowed in sstatus[10:9].  It is defined analogously to the floating-point context status field, FS.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,Privileged-only: Requires privileged mode testing to verify sstatus.VS field shadowing behavior,Requires privileged mode test infrastructure not currently in scope,,,,,,,,,,,,,,,,,,,,,,,,,,
vsstatus-vs_op2,[MISSING: norm:vsstatus-vs_op],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,Privileged-only: Missing normative text; requires privileged mode testing,Requires privileged mode test infrastructure not currently in scope,,,,,,,,,,,,,,,,,,,,,,,,,,
vsstatus-vs_op_off,"When V=1, both vsstatus.VS and mstatus.VS are in effect: attempts to execute any vector instruction, or to access the vector CSRs, raise an illegal-instruction exception when either field is set to Off.",cp_mstatus_vs_off / cp_vsstatus_vs_off,"Tests that when V=1, vector instructions raise illegal-instruction exception when vsstatus.VS is set to Off",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,"The coverpoints test vsstatus.VS=Off and mstatus.VS=Off individually when V=1, but the normative rule states 'when either field is set to Off', meaning both fields must be tested independently. The coverpoints appear to cover vsstatus.VS=Off but the naming suggests cp_mstatus_vs_off may test mstatus.VS=Off. However, the description only mentions 'when vsstatus.VS is set to Off', suggesting the mstatus.VS=Off case (where vsstatus.VS is NOT Off but mstatus.VS IS Off, while V=1) may not be fully covered. Additionally, the rule covers both vector instructions AND vector CSR accesses, and it's unclear if CSR access attempts are tested.",mstatus.VS=Off with vsstatus.VS!=Off while V=1 raising illegal-instruction exception; Vector CSR access attempts (not just vector instructions) raising illegal-instruction exception when either field is Off,,,,,,,,,,,,,,,,,,,,,,,,,,
vsstatus-vs_op_active,"When V=1 and neither vsstatus.VS nor mstatus.VS is set to Off, executing any instruction that changes vector state, including the vector CSRs, will change both mstatus.VS and vsstatus.VS to Dirty.",cp_mstatus_vs_off / cp_vsstatus_vs_off,Coverpoint exercises vsstatus.VS state transitions when V=1 and neither field is Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,"The coverpoints exercise vsstatus.VS state transitions when V=1 and neither field is Off, but the normative rule specifically requires that BOTH mstatus.VS AND vsstatus.VS are changed to Dirty. The named coverpoints (cp_mstatus_vs_off / cp_vsstatus_vs_off) appear focused on the 'Off' state exclusion condition rather than verifying both fields transition to Dirty simultaneously.","No coverpoint verifying that mstatus.VS is set to Dirty (not just that it's not Off); No coverpoint verifying that vsstatus.VS is set to Dirty (not just that it's not Off); No coverpoint verifying both fields change to Dirty simultaneously when a vector-state-changing instruction executes; No coverpoint exercising various vector-state-changing instructions (vector CSR writes, vector arithmetic, etc.) as the trigger",,,,,,,,,,,,,,,,,,,,,,,,,,
vsstatus-sd_op_vs,"If vsstatus.VS is Dirty, vsstatus.SD is 1; otherwise, vsstatus.SD is set in accordance with existing specifications.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,Privileged-only: Requires privileged mode testing to verify vsstatus.SD reflects VS dirty state,Requires privileged mode test infrastructure not currently in scope,,,,,,,,,,,,,,,,,,,,,,,,,,
mstatus-sd_op,"If mstatus.VS is Dirty, mstatus.SD is 1; otherwise, mstatus.SD is set in accordance with existing specifications.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,Privileged-only: Requires privileged mode testing to verify mstatus.SD reflects VS dirty state,Requires privileged mode test infrastructure not currently in scope,,,,,,,,,,,,,,,,,,,,,,,,,,
mstatus-sd_op_vs,"If mstatus.VS is Dirty, mstatus.SD is 1; otherwise, mstatus.SD is set in accordance with existing specifications.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,Privileged-only: Requires privileged mode testing to verify mstatus.SD reflects VS dirty state,Requires privileged mode test infrastructure not currently in scope,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTABLE_MISA_V,Implementations may have a writable misa.V field.,cp_misa_v_clear_set,"SmV cp_misa_v_clear_set attempts to write misa.V field, testing whether it is writable (implementation-defined).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,SmV/SmVF or standard coverpoints now address this rule. Coverage is partial as not all aspects of the normative requirement may be covered.,Some aspects of the normative rule may still need dedicated testing.,,,,,,,,,,,,,,,,,,,,,,,,,,
MSTATUS_VS_EXISTS,"Analogous to the way in which the floating-point unit is handled, the mstatus.VS field may exist even if misa.V is clear.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,Privileged-only: Requires privileged mode testing of mstatus.VS field existence when misa.V is clear,Requires privileged mode test infrastructure not currently in scope,,,,,,,,,,,,,,,,,,,,,,,,,,
VSSTATUS_VS_EXISTS,"For implementations with a writable misa.V field, the vsstatus.VS field may exist even if misa.V is clear.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,Privileged-only: Requires privileged mode testing with hypervisor extension,Requires privileged mode test infrastructure not currently in scope,,,,,,,,,,,,,,,,,,,,,,,,,,
vtype_sz,"The read-only XLEN-wide vector type CSR, vtype provides the default type used to interpret the contents of the vector register file, and can only be updated by vset{i}vl{i} instructions.",cp_vtype_walking1s,Walking 1s across all XLEN bits confirms the full XLEN-wide width of vtype is exercised through the rs2 operand of vsetvl.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,"The coverpoint cp_vtype_walking1s tests that all XLEN bits of vtype can be exercised via the rs2 operand of vsetvl, confirming the XLEN-wide width aspect. However, the normative rule also states that vtype is read-only and can ONLY be updated by vset{i}vl{i} instructions. There is no coverpoint verifying the read-only nature (i.e., that other writes don't affect it) or that vsetivli also correctly updates vtype.",No coverpoint verifying vtype is read-only (cannot be written by CSR write instructions like csrrw); No coverpoint verifying vsetivli updates vtype correctly across all XLEN bits; No coverpoint verifying vsetvli updates vtype correctly across all XLEN bits,,,,,,,,,,,,,,,,,,,,,,,,,,
vtype_op,"The read-only XLEN-wide vector type CSR, vtype provides the default type used to interpret the contents of the vector register file, and can only be updated by vset{i}vl{i} instructions.",cp_custom_vwholeRegLS_vill,"By setting vill=1 and showing whole register loads/stores still execute correctly, the coverpoint demonstrates these instructions do not depend on vtype for their operation.",cp_custom_vwholeRegLS_lmul,Coverpoint modifies vtype via vsetvli to set different LMUL values before executing whole register load/stores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,"The coverpoints only test that whole register load/stores are independent of vtype settings (vill and LMUL). They demonstrate a narrow consequence of vtype being read-only and only updatable by vset{i}vl{i}, but do not directly test the core aspects of the rule.","No coverpoint verifies that vtype can ONLY be updated by vset{i}vl{i} instructions (e.g., testing that CSR writes via csrrw/csrrs to vtype are ignored or cause illegal instruction); No coverpoint verifies that vtype is read-only with respect to non-vsetvl instructions; No coverpoint verifies the basic function of vtype as providing the default type interpretation for the vector register file",,,,,,,,,,,,,,,,,,,,,,,,,,
vtype-vill_sz,"The vtype register has five fields, vill, vma, vta, vsew[2:0], and vlmul[2:0].  Bits vtype[XLEN-2:8] should be written with zero, and non-zero values in this field are reserved.",cp_vtype_walking1s,"Walking a 1 into the reserved bits vtype[XLEN-2:8] tests that non-zero values in these reserved fields are detected, exercising the XLEN-wide vtype size requirement.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,full,"The normative rule specifies that vtype bits [XLEN-2:8] should be written with zero and non-zero values are reserved. The cp_vtype_walking1s coverpoint walks a 1 into each of the reserved bits vtype[XLEN-2:8], which tests that non-zero values in these reserved fields are properly detected. This exercises both the size requirement (XLEN-wide) and the reserved field detection requirement.",,,,,,,,,,,,,,,,,,,,,,,,,,,
vtype-vma_sz,"The vtype register has five fields, vill, vma, vta, vsew[2:0], and vlmul[2:0].  Bits vtype[XLEN-2:8] should be written with zero, and non-zero values in this field are reserved.",cp_vtype_walking1s,"Walking 1s covers the vma bit position, exercising that the vma field is part of the XLEN-wide vtype encoding checked by the implementation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,"The coverpoint cp_vtype_walking1s with walking 1s covers exercising individual bit positions including vma, but the normative rule describes multiple aspects: (1) the vtype register has five fields (vill, vma, vta, vsew[2:0], vlmul[2:0]), (2) bits vtype[XLEN-2:8] should be written with zero, and (3) non-zero values in vtype[XLEN-2:8] are reserved. The walking 1s pattern exercises the vma bit position but does not specifically verify that the reserved bits vtype[XLEN-2:8] must be zero or test the behavior when non-zero values are written to reserved fields.","No coverpoint verifying that writes of non-zero values to reserved bits vtype[XLEN-2:8] are handled correctly (e.g., setting vill); No coverpoint specifically testing all five fields (vill, vma, vta, vsew, vlmul) are present and correctly positioned in the vtype encoding; No coverpoint testing the sz (size/width) aspect implied by the rule name - that vtype is XLEN bits wide and reserved bits span from bit 8 to XLEN-2",,,,,,,,,,,,,,,,,,,,,,,,,,
vtype-vta_sz,"The vtype register has five fields, vill, vma, vta, vsew[2:0], and vlmul[2:0].  Bits vtype[XLEN-2:8] should be written with zero, and non-zero values in this field are reserved.",cp_vtype_walking1s,"Walking 1s covers the vta bit position, exercising that the vta field is part of the XLEN-wide vtype encoding checked by the implementation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,"The normative rule describes five fields (vill, vma, vta, vsew[2:0], vlmul[2:0]) and also specifies that bits vtype[XLEN-2:8] must be written with zero, with non-zero values reserved. The coverpoint cp_vtype_walking1s only exercises the vta bit position. It does not cover the other fields (vill, vma, vsew, vlmul) nor the reserved bits [XLEN-2:8] zero-checking requirement.",No coverage of vill field; No coverage of vma field; No coverage of vsew[2:0] field; No coverage of vlmul[2:0] field; No coverage verifying that reserved bits vtype[XLEN-2:8] are written as zero and that non-zero values are treated as reserved,,,,,,,,,,,,,,,,,,,,,,,,,,
vtype-vsew_sz,"The vtype register has five fields, vill, vma, vta, vsew[2:0], and vlmul[2:0].  Bits vtype[XLEN-2:8] should be written with zero, and non-zero values in this field are reserved.",cp_vtype_walking1s,"Walking 1s covers each vsew bit individually, exercising that vsew[2:0] is properly decoded as part of the XLEN-wide vtype.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partial,"The walking 1s coverpoint only tests vsew[2:0] bit decoding. The normative rule also specifies: (1) vtype has five fields (vill, vma, vta, vsew[2:0], vlmul[2:0]), (2) bits vtype[XLEN-2:8] should be written with zero, and (3) non-zero values in vtype[XLEN-2:8] are reserved. The coverpoint does not test the reserved bits behavior.","No coverage for writing non-zero values to reserved bits vtype[XLEN-2:8] and verifying proper handling; No coverage for vill, vma, vta, or vlmul fields mentioned in the rule; No coverage verifying that reserved field writes are handled correctly (e.g., setting vill)",,,,,,,,,,,,,,,,,,,,,,,,,,
